Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,Dóra Dúró,Dúró Dóra,Our Homeland Movement,Hungary,1,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,84
Name,CDU,CDU,Unitary Democratic Coalition,Portugal,1,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,85
Name,Olaf Scholz,"Olaf Scholz, Scholz",Social Democratic Party,Germany,1,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,86
Party,Free Democratic Party,FDP,Free Democratic Party,Unknown,0,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,87
Party,Christian Social Union in Bavaria,CSU,Christian Social Union in Bavaria,Unknown,0,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,88
Name,Christian Democratic Union/Christian Social Union (CDU/CSU),CDU-CSU,Political alliance,Germany,1,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,89
Name,Bayer Zsolt,Bayer Zsolt,Fidesz,Hungary,1,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,90
Name,Roberta Metsola,Roberta Metsola,Nationalist Party,Malta,1,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,91
Name,Kim Jong Un,Kim Jong Un,Workers' Party of Korea,North Korea,0,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,92
Name,European Greens,European Greens,European Green Party,Europe-wide,0,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,93
Name,The Green Party,Green party,LMP – Hungary's Green Party,Unknown,0,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,94
Name,Attila Mesterházy,Mesterházy Attila,Hungarian Socialist Party,Hungary,1,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,95
Name,Péter Márki-Zay,"MZP, MSZP",DK–MSZP–Dialogue Alliance,Unknown,0,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,96
Name,Justin Trudeau,Trudeau,Liberal Party of Canada,Canada,0,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,97
Name,Die Grünen – Die Grüne Alternative,die Grünen,The Greens – The Green Alternative,Austria,1,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,98
Name,Zuzana Čaputová,Caputová,Progressive Slovakia,Slovakia,1,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,99
Name,Rishi Sunak,Sunak,Conservative Party,United Kingdom,0,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,100
Name,Tibor Szanyi,Szanyi Tibor,Hungarian Socialist Party,Hungary,1,FINAL_NER_2025_17_01/Glossary/Hungary_Glossary.xlsx,Glossary,101
