Type,Entry,Variations,Party,Country,EU,source_file,source_sheet,source_row
Name,Julien Rochedy,Julien Rochedy,Others,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,87
Name,Rachida Dati,Rachida Daty,Independant,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,88
Name,Sergey Lavrov,Sergey Lavrov,Others,Russia,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,89
Name,Guillaume Peltier,Guillaume Peltier,Reconquest,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,90
Name,Léon Defontaine,Léon Defontaine,Others,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,91
Party,Rural Alliance,"Rural Alliance, L'Alliance Rurale, L'alliance rurale",Rural Alliance,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,92
Name,Giorgia Meloni,Giorgia Meloni,Brothers of Italy,Italy,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,93
Party,The Patriots–VIA,"LP, Les Patriotes",The Patriots–VIA,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,94
Name,Jean-Marc Jancovici,Jean-Marc Jancovici,Others,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,95
Party,Équinoxe,"Équinoxe, Equinoxe",Équinoxe,Unknown,0,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,96
Name,Sébastien Chenu,Sébastien Chenu,National Rally,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,97
Name,Charles Consigny,Charles Consigny,The Republicans,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,98
Name,Virginie Joron,Virginie Joron,National Rally,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,99
Name,Frédéric Maillot,Frédéric Maillot,For Réunion,France,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,100
Name,Marc Botenga,Marc Botenga,Workers’ Party of Belgium,Belgium,1,FINAL_NER_2025_17_01/Glossary/France_Glossary.xlsx,Glossary,101
